"","REF_DATE","City","Province","Components.of.population.growth","VALUE","Type.of.area","covid"
"10211","2018/2019","Sault Ste. Marie","ON","Net emigration",71,"CA","Pre-COVID"
"10212","2019/2020","Sault Ste. Marie","ON","Net emigration",52,"CA","Pre-COVID"
"10213","2020/2021","Sault Ste. Marie","ON","Net emigration",45,"CA","COVID"
"10214","2021/2022","Sault Ste. Marie","ON","Net emigration",55,"CA","COVID"
"10215","2022/2023","Sault Ste. Marie","ON","Net emigration",57,"CA","Post-COVID"
"10216","2023/2024","Sault Ste. Marie","ON","Net emigration",59,"CA","Post-COVID"
"10217","2017/2018","Sault Ste. Marie","ON","Returning emigrants",51,"CA","Pre-COVID"
"10218","2018/2019","Sault Ste. Marie","ON","Returning emigrants",48,"CA","Pre-COVID"
"10219","2019/2020","Sault Ste. Marie","ON","Returning emigrants",35,"CA","Pre-COVID"
"10220","2020/2021","Sault Ste. Marie","ON","Returning emigrants",37,"CA","COVID"
"10221","2021/2022","Sault Ste. Marie","ON","Returning emigrants",40,"CA","COVID"
"10222","2022/2023","Sault Ste. Marie","ON","Returning emigrants",40,"CA","Post-COVID"
"10223","2023/2024","Sault Ste. Marie","ON","Returning emigrants",40,"CA","Post-COVID"
"10224","2017/2018","Sault Ste. Marie","ON","Net interprovincial migration",-60,"CA","Pre-COVID"
"10225","2018/2019","Sault Ste. Marie","ON","Net interprovincial migration",21,"CA","Pre-COVID"
"10226","2019/2020","Sault Ste. Marie","ON","Net interprovincial migration",-22,"CA","Pre-COVID"
"10227","2020/2021","Sault Ste. Marie","ON","Net interprovincial migration",-27,"CA","COVID"
"10228","2021/2022","Sault Ste. Marie","ON","Net interprovincial migration",-1,"CA","COVID"
"10229","2022/2023","Sault Ste. Marie","ON","Net interprovincial migration",-123,"CA","Post-COVID"
"10230","2023/2024","Sault Ste. Marie","ON","Net interprovincial migration",-103,"CA","Post-COVID"
"10231","2017/2018","Sault Ste. Marie","ON","Net intraprovincial migration",7,"CA","Pre-COVID"
"10232","2018/2019","Sault Ste. Marie","ON","Net intraprovincial migration",96,"CA","Pre-COVID"
"10233","2019/2020","Sault Ste. Marie","ON","Net intraprovincial migration",-24,"CA","Pre-COVID"
"10234","2020/2021","Sault Ste. Marie","ON","Net intraprovincial migration",12,"CA","COVID"
"10235","2021/2022","Sault Ste. Marie","ON","Net intraprovincial migration",506,"CA","COVID"
"10236","2022/2023","Sault Ste. Marie","ON","Net intraprovincial migration",244,"CA","Post-COVID"
"10237","2023/2024","Sault Ste. Marie","ON","Net intraprovincial migration",188,"CA","Post-COVID"
"10238","2017/2018","Sault Ste. Marie","ON","Net non-permanent residents",200,"CA","Pre-COVID"
"10239","2018/2019","Sault Ste. Marie","ON","Net non-permanent residents",693,"CA","Pre-COVID"
"10240","2019/2020","Sault Ste. Marie","ON","Net non-permanent residents",662,"CA","Pre-COVID"
"10241","2020/2021","Sault Ste. Marie","ON","Net non-permanent residents",-204,"CA","COVID"
"10242","2021/2022","Sault Ste. Marie","ON","Net non-permanent residents",1443,"CA","COVID"
"10243","2022/2023","Sault Ste. Marie","ON","Net non-permanent residents",2698,"CA","Post-COVID"
"10244","2023/2024","Sault Ste. Marie","ON","Net non-permanent residents",2887,"CA","Post-COVID"
"10245","2017/2018","Sault Ste. Marie","ON","Residual deviation",-42,"CA","Pre-COVID"
"10246","2018/2019","Sault Ste. Marie","ON","Residual deviation",-36,"CA","Pre-COVID"
"10247","2019/2020","Sault Ste. Marie","ON","Residual deviation",-12,"CA","Pre-COVID"
"10248","2020/2021","Sault Ste. Marie","ON","Residual deviation",120,"CA","COVID"
"10249","2017/2018","Kenora","ON","Net emigration",14,"CA","Pre-COVID"
"10250","2018/2019","Kenora","ON","Net emigration",9,"CA","Pre-COVID"
"10251","2019/2020","Kenora","ON","Net emigration",12,"CA","Pre-COVID"
"10252","2020/2021","Kenora","ON","Net emigration",23,"CA","COVID"
"10253","2021/2022","Kenora","ON","Net emigration",-2,"CA","COVID"
"10254","2022/2023","Kenora","ON","Net emigration",34,"CA","Post-COVID"
"10255","2023/2024","Kenora","ON","Net emigration",36,"CA","Post-COVID"
"10256","2017/2018","Kenora","ON","Returning emigrants",5,"CA","Pre-COVID"
"10257","2018/2019","Kenora","ON","Returning emigrants",8,"CA","Pre-COVID"
"10258","2019/2020","Kenora","ON","Returning emigrants",4,"CA","Pre-COVID"
"10259","2020/2021","Kenora","ON","Returning emigrants",7,"CA","COVID"
"10260","2021/2022","Kenora","ON","Returning emigrants",10,"CA","COVID"
"10261","2022/2023","Kenora","ON","Returning emigrants",14,"CA","Post-COVID"
"10262","2023/2024","Kenora","ON","Returning emigrants",14,"CA","Post-COVID"
"10263","2017/2018","Kenora","ON","Net interprovincial migration",-2,"CA","Pre-COVID"
"10264","2018/2019","Kenora","ON","Net interprovincial migration",-4,"CA","Pre-COVID"
"10265","2019/2020","Kenora","ON","Net interprovincial migration",15,"CA","Pre-COVID"
"10266","2020/2021","Kenora","ON","Net interprovincial migration",48,"CA","COVID"
"10267","2021/2022","Kenora","ON","Net interprovincial migration",-68,"CA","COVID"
"10268","2022/2023","Kenora","ON","Net interprovincial migration",-80,"CA","Post-COVID"
"10269","2023/2024","Kenora","ON","Net interprovincial migration",-21,"CA","Post-COVID"
"10270","2017/2018","Kenora","ON","Net intraprovincial migration",35,"CA","Pre-COVID"
"10271","2018/2019","Kenora","ON","Net intraprovincial migration",59,"CA","Pre-COVID"
"10272","2019/2020","Kenora","ON","Net intraprovincial migration",15,"CA","Pre-COVID"
"10273","2020/2021","Kenora","ON","Net intraprovincial migration",60,"CA","COVID"
"10274","2021/2022","Kenora","ON","Net intraprovincial migration",1,"CA","COVID"
"10275","2022/2023","Kenora","ON","Net intraprovincial migration",-49,"CA","Post-COVID"
"10276","2023/2024","Kenora","ON","Net intraprovincial migration",-55,"CA","Post-COVID"
"10277","2017/2018","Kenora","ON","Net non-permanent residents",13,"CA","Pre-COVID"
"10278","2018/2019","Kenora","ON","Net non-permanent residents",30,"CA","Pre-COVID"
"10279","2019/2020","Kenora","ON","Net non-permanent residents",-23,"CA","Pre-COVID"
"10280","2020/2021","Kenora","ON","Net non-permanent residents",-5,"CA","COVID"
"10281","2021/2022","Kenora","ON","Net non-permanent residents",-9,"CA","COVID"
"10282","2022/2023","Kenora","ON","Net non-permanent residents",81,"CA","Post-COVID"
"10283","2023/2024","Kenora","ON","Net non-permanent residents",26,"CA","Post-COVID"
"10284","2017/2018","Kenora","ON","Residual deviation",-65,"CA","Pre-COVID"
"10285","2018/2019","Kenora","ON","Residual deviation",-57,"CA","Pre-COVID"
"10286","2019/2020","Kenora","ON","Residual deviation",-78,"CA","Pre-COVID"
"10287","2020/2021","Kenora","ON","Residual deviation",38,"CA","COVID"
"10288","2017/2018","Winkler","MB","Net emigration",-32,"CA","Pre-COVID"
"10289","2018/2019","Winkler","MB","Net emigration",-41,"CA","Pre-COVID"
"10290","2019/2020","Winkler","MB","Net emigration",37,"CA","Pre-COVID"
"10291","2020/2021","Winkler","MB","Net emigration",8,"CA","COVID"
"10292","2021/2022","Winkler","MB","Net emigration",80,"CA","COVID"
"10293","2022/2023","Winkler","MB","Net emigration",100,"CA","Post-COVID"
"10294","2023/2024","Winkler","MB","Net emigration",103,"CA","Post-COVID"
"10295","2017/2018","Winkler","MB","Returning emigrants",62,"CA","Pre-COVID"
"10296","2018/2019","Winkler","MB","Returning emigrants",99,"CA","Pre-COVID"
"10297","2019/2020","Winkler","MB","Returning emigrants",84,"CA","Pre-COVID"
"10298","2020/2021","Winkler","MB","Returning emigrants",97,"CA","COVID"
"10299","2021/2022","Winkler","MB","Returning emigrants",70,"CA","COVID"
"10300","2022/2023","Winkler","MB","Returning emigrants",83,"CA","Post-COVID"
"10301","2023/2024","Winkler","MB","Returning emigrants",86,"CA","Post-COVID"
"10302","2017/2018","Winkler","MB","Net interprovincial migration",-129,"CA","Pre-COVID"
"10303","2018/2019","Winkler","MB","Net interprovincial migration",-192,"CA","Pre-COVID"
"10304","2019/2020","Winkler","MB","Net interprovincial migration",-182,"CA","Pre-COVID"
"10305","2020/2021","Winkler","MB","Net interprovincial migration",-140,"CA","COVID"
"10306","2021/2022","Winkler","MB","Net interprovincial migration",-373,"CA","COVID"
"10307","2022/2023","Winkler","MB","Net interprovincial migration",-341,"CA","Post-COVID"
"10308","2023/2024","Winkler","MB","Net interprovincial migration",-165,"CA","Post-COVID"
"10309","2017/2018","Winkler","MB","Net intraprovincial migration",-26,"CA","Pre-COVID"
"10310","2018/2019","Winkler","MB","Net intraprovincial migration",17,"CA","Pre-COVID"
"10311","2019/2020","Winkler","MB","Net intraprovincial migration",40,"CA","Pre-COVID"
"10312","2020/2021","Winkler","MB","Net intraprovincial migration",-133,"CA","COVID"
"10313","2021/2022","Winkler","MB","Net intraprovincial migration",-74,"CA","COVID"
"10314","2022/2023","Winkler","MB","Net intraprovincial migration",-68,"CA","Post-COVID"
"10315","2023/2024","Winkler","MB","Net intraprovincial migration",-43,"CA","Post-COVID"
"10316","2017/2018","Winkler","MB","Net non-permanent residents",74,"CA","Pre-COVID"
"10317","2018/2019","Winkler","MB","Net non-permanent residents",49,"CA","Pre-COVID"
"10318","2019/2020","Winkler","MB","Net non-permanent residents",-98,"CA","Pre-COVID"
"10319","2020/2021","Winkler","MB","Net non-permanent residents",-2,"CA","COVID"
"10320","2021/2022","Winkler","MB","Net non-permanent residents",146,"CA","COVID"
"10321","2022/2023","Winkler","MB","Net non-permanent residents",696,"CA","Post-COVID"
"10322","2023/2024","Winkler","MB","Net non-permanent residents",390,"CA","Post-COVID"
"10323","2017/2018","Winkler","MB","Residual deviation",-216,"CA","Pre-COVID"
"10324","2018/2019","Winkler","MB","Residual deviation",-233,"CA","Pre-COVID"
"10325","2019/2020","Winkler","MB","Residual deviation",-238,"CA","Pre-COVID"
"10326","2020/2021","Winkler","MB","Residual deviation",-145,"CA","COVID"
"10327","2017/2018","Steinbach","MB","Net emigration",27,"CA","Pre-COVID"
"10328","2018/2019","Steinbach","MB","Net emigration",-2,"CA","Pre-COVID"
"10329","2019/2020","Steinbach","MB","Net emigration",-4,"CA","Pre-COVID"
"10330","2020/2021","Steinbach","MB","Net emigration",10,"CA","COVID"
"10331","2021/2022","Steinbach","MB","Net emigration",47,"CA","COVID"
"10332","2022/2023","Steinbach","MB","Net emigration",34,"CA","Post-COVID"
"10333","2023/2024","Steinbach","MB","Net emigration",36,"CA","Post-COVID"
"10334","2017/2018","Steinbach","MB","Returning emigrants",52,"CA","Pre-COVID"
"10335","2018/2019","Steinbach","MB","Returning emigrants",86,"CA","Pre-COVID"
"10336","2019/2020","Steinbach","MB","Returning emigrants",29,"CA","Pre-COVID"
"10337","2020/2021","Steinbach","MB","Returning emigrants",41,"CA","COVID"
"10338","2021/2022","Steinbach","MB","Returning emigrants",26,"CA","COVID"
"10339","2022/2023","Steinbach","MB","Returning emigrants",30,"CA","Post-COVID"
"10340","2023/2024","Steinbach","MB","Returning emigrants",30,"CA","Post-COVID"
"10341","2017/2018","Steinbach","MB","Net interprovincial migration",-89,"CA","Pre-COVID"
"10342","2018/2019","Steinbach","MB","Net interprovincial migration",-23,"CA","Pre-COVID"
"10343","2019/2020","Steinbach","MB","Net interprovincial migration",-36,"CA","Pre-COVID"
"10344","2020/2021","Steinbach","MB","Net interprovincial migration",-78,"CA","COVID"
"10345","2021/2022","Steinbach","MB","Net interprovincial migration",-4,"CA","COVID"
"10346","2022/2023","Steinbach","MB","Net interprovincial migration",-43,"CA","Post-COVID"
"10347","2023/2024","Steinbach","MB","Net interprovincial migration",11,"CA","Post-COVID"
"10348","2017/2018","Steinbach","MB","Net intraprovincial migration",-412,"CA","Pre-COVID"
"10349","2018/2019","Steinbach","MB","Net intraprovincial migration",-674,"CA","Pre-COVID"
"10350","2019/2020","Steinbach","MB","Net intraprovincial migration",-390,"CA","Pre-COVID"
"10351","2020/2021","Steinbach","MB","Net intraprovincial migration",-282,"CA","COVID"
"10352","2021/2022","Steinbach","MB","Net intraprovincial migration",-238,"CA","COVID"
"10353","2022/2023","Steinbach","MB","Net intraprovincial migration",-212,"CA","Post-COVID"
"10354","2023/2024","Steinbach","MB","Net intraprovincial migration",-131,"CA","Post-COVID"
"10355","2017/2018","Steinbach","MB","Net non-permanent residents",23,"CA","Pre-COVID"
"10356","2018/2019","Steinbach","MB","Net non-permanent residents",59,"CA","Pre-COVID"
"10357","2019/2020","Steinbach","MB","Net non-permanent residents",-4,"CA","Pre-COVID"
"10358","2020/2021","Steinbach","MB","Net non-permanent residents",83,"CA","COVID"
"10359","2021/2022","Steinbach","MB","Net non-permanent residents",122,"CA","COVID"
"10360","2022/2023","Steinbach","MB","Net non-permanent residents",420,"CA","Post-COVID"
"10361","2023/2024","Steinbach","MB","Net non-permanent residents",401,"CA","Post-COVID"
"10362","2017/2018","Steinbach","MB","Residual deviation",479,"CA","Pre-COVID"
"10363","2018/2019","Steinbach","MB","Residual deviation",498,"CA","Pre-COVID"
"10364","2019/2020","Steinbach","MB","Residual deviation",520,"CA","Pre-COVID"
"10365","2020/2021","Steinbach","MB","Residual deviation",537,"CA","COVID"
"10366","2017/2018","Portage la Prairie","MB","Net emigration",-4,"CA","Pre-COVID"
"10367","2018/2019","Portage la Prairie","MB","Net emigration",17,"CA","Pre-COVID"
"10368","2019/2020","Portage la Prairie","MB","Net emigration",1,"CA","Pre-COVID"
"10369","2020/2021","Portage la Prairie","MB","Net emigration",6,"CA","COVID"
"10370","2021/2022","Portage la Prairie","MB","Net emigration",29,"CA","COVID"
"10371","2022/2023","Portage la Prairie","MB","Net emigration",15,"CA","Post-COVID"
"10372","2023/2024","Portage la Prairie","MB","Net emigration",16,"CA","Post-COVID"
"10373","2017/2018","Portage la Prairie","MB","Returning emigrants",4,"CA","Pre-COVID"
"10374","2018/2019","Portage la Prairie","MB","Returning emigrants",15,"CA","Pre-COVID"
"10375","2019/2020","Portage la Prairie","MB","Returning emigrants",1,"CA","Pre-COVID"
"10376","2020/2021","Portage la Prairie","MB","Returning emigrants",6,"CA","COVID"
"10377","2021/2022","Portage la Prairie","MB","Returning emigrants",14,"CA","COVID"
"10378","2022/2023","Portage la Prairie","MB","Returning emigrants",6,"CA","Post-COVID"
"10379","2023/2024","Portage la Prairie","MB","Returning emigrants",6,"CA","Post-COVID"
"10380","2017/2018","Portage la Prairie","MB","Net interprovincial migration",-76,"CA","Pre-COVID"
"10381","2018/2019","Portage la Prairie","MB","Net interprovincial migration",-45,"CA","Pre-COVID"
"10382","2019/2020","Portage la Prairie","MB","Net interprovincial migration",-14,"CA","Pre-COVID"
"10383","2020/2021","Portage la Prairie","MB","Net interprovincial migration",76,"CA","COVID"
"10384","2021/2022","Portage la Prairie","MB","Net interprovincial migration",-22,"CA","COVID"
"10385","2022/2023","Portage la Prairie","MB","Net interprovincial migration",-104,"CA","Post-COVID"
"10386","2023/2024","Portage la Prairie","MB","Net interprovincial migration",7,"CA","Post-COVID"
"10387","2017/2018","Portage la Prairie","MB","Net intraprovincial migration",-236,"CA","Pre-COVID"
"10388","2018/2019","Portage la Prairie","MB","Net intraprovincial migration",-129,"CA","Pre-COVID"
"10389","2019/2020","Portage la Prairie","MB","Net intraprovincial migration",-82,"CA","Pre-COVID"
"10390","2020/2021","Portage la Prairie","MB","Net intraprovincial migration",-145,"CA","COVID"
"10391","2021/2022","Portage la Prairie","MB","Net intraprovincial migration",-130,"CA","COVID"
"10392","2022/2023","Portage la Prairie","MB","Net intraprovincial migration",-139,"CA","Post-COVID"
"10393","2023/2024","Portage la Prairie","MB","Net intraprovincial migration",134,"CA","Post-COVID"
"10394","2017/2018","Portage la Prairie","MB","Net non-permanent residents",140,"CA","Pre-COVID"
"10395","2018/2019","Portage la Prairie","MB","Net non-permanent residents",46,"CA","Pre-COVID"
"10396","2019/2020","Portage la Prairie","MB","Net non-permanent residents",-25,"CA","Pre-COVID"
"10397","2020/2021","Portage la Prairie","MB","Net non-permanent residents",28,"CA","COVID"
"10398","2021/2022","Portage la Prairie","MB","Net non-permanent residents",-45,"CA","COVID"
"10399","2022/2023","Portage la Prairie","MB","Net non-permanent residents",122,"CA","Post-COVID"
"10400","2023/2024","Portage la Prairie","MB","Net non-permanent residents",61,"CA","Post-COVID"
"10401","2017/2018","Portage la Prairie","MB","Residual deviation",73,"CA","Pre-COVID"
"10402","2018/2019","Portage la Prairie","MB","Residual deviation",90,"CA","Pre-COVID"
"10403","2019/2020","Portage la Prairie","MB","Residual deviation",68,"CA","Pre-COVID"
"10404","2020/2021","Portage la Prairie","MB","Residual deviation",142,"CA","COVID"
"10405","2017/2018","Brandon","MB","Net emigration",24,"CA","Pre-COVID"
"10406","2018/2019","Brandon","MB","Net emigration",25,"CA","Pre-COVID"
"10407","2019/2020","Brandon","MB","Net emigration",12,"CA","Pre-COVID"
"10408","2020/2021","Brandon","MB","Net emigration",95,"CA","COVID"
"10409","2021/2022","Brandon","MB","Net emigration",43,"CA","COVID"
"10410","2022/2023","Brandon","MB","Net emigration",90,"CA","Post-COVID"
"10411","2023/2024","Brandon","MB","Net emigration",93,"CA","Post-COVID"
"10412","2017/2018","Brandon","MB","Returning emigrants",37,"CA","Pre-COVID"
"10413","2018/2019","Brandon","MB","Returning emigrants",32,"CA","Pre-COVID"
"10414","2019/2020","Brandon","MB","Returning emigrants",17,"CA","Pre-COVID"
"10415","2020/2021","Brandon","MB","Returning emigrants",34,"CA","COVID"
"10416","2021/2022","Brandon","MB","Returning emigrants",39,"CA","COVID"
"10417","2022/2023","Brandon","MB","Returning emigrants",36,"CA","Post-COVID"
"10418","2023/2024","Brandon","MB","Returning emigrants",37,"CA","Post-COVID"
"10419","2017/2018","Brandon","MB","Net interprovincial migration",-572,"CA","Pre-COVID"
"10420","2018/2019","Brandon","MB","Net interprovincial migration",-538,"CA","Pre-COVID"
"10421","2019/2020","Brandon","MB","Net interprovincial migration",-649,"CA","Pre-COVID"
"10422","2020/2021","Brandon","MB","Net interprovincial migration",-433,"CA","COVID"
"10423","2021/2022","Brandon","MB","Net interprovincial migration",-673,"CA","COVID"
"10424","2022/2023","Brandon","MB","Net interprovincial migration",-800,"CA","Post-COVID"
"10425","2023/2024","Brandon","MB","Net interprovincial migration",-524,"CA","Post-COVID"
"10426","2017/2018","Brandon","MB","Net intraprovincial migration",203,"CA","Pre-COVID"
"10427","2018/2019","Brandon","MB","Net intraprovincial migration",203,"CA","Pre-COVID"
"10428","2019/2020","Brandon","MB","Net intraprovincial migration",217,"CA","Pre-COVID"
"10429","2020/2021","Brandon","MB","Net intraprovincial migration",49,"CA","COVID"
"10430","2021/2022","Brandon","MB","Net intraprovincial migration",98,"CA","COVID"
"10431","2022/2023","Brandon","MB","Net intraprovincial migration",165,"CA","Post-COVID"
"10432","2023/2024","Brandon","MB","Net intraprovincial migration",144,"CA","Post-COVID"
"10433","2017/2018","Brandon","MB","Net non-permanent residents",127,"CA","Pre-COVID"
"10434","2018/2019","Brandon","MB","Net non-permanent residents",220,"CA","Pre-COVID"
"10435","2019/2020","Brandon","MB","Net non-permanent residents",4,"CA","Pre-COVID"
"10436","2020/2021","Brandon","MB","Net non-permanent residents",-67,"CA","COVID"
"10437","2021/2022","Brandon","MB","Net non-permanent residents",328,"CA","COVID"
"10438","2022/2023","Brandon","MB","Net non-permanent residents",1087,"CA","Post-COVID"
"10439","2023/2024","Brandon","MB","Net non-permanent residents",1565,"CA","Post-COVID"
"10440","2017/2018","Brandon","MB","Residual deviation",-47,"CA","Pre-COVID"
"10441","2018/2019","Brandon","MB","Residual deviation",-57,"CA","Pre-COVID"
"10442","2019/2020","Brandon","MB","Residual deviation",-106,"CA","Pre-COVID"
"10443","2020/2021","Brandon","MB","Residual deviation",-32,"CA","COVID"
"10444","2017/2018","Thompson","MB","Net emigration",17,"CA","Pre-COVID"
"10445","2018/2019","Thompson","MB","Net emigration",13,"CA","Pre-COVID"
"10446","2019/2020","Thompson","MB","Net emigration",1,"CA","Pre-COVID"
"10447","2020/2021","Thompson","MB","Net emigration",16,"CA","COVID"
"10448","2021/2022","Thompson","MB","Net emigration",48,"CA","COVID"
"10449","2022/2023","Thompson","MB","Net emigration",-3,"CA","Post-COVID"
"10450","2023/2024","Thompson","MB","Net emigration",-3,"CA","Post-COVID"
"10451","2017/2018","Thompson","MB","Returning emigrants",4,"CA","Pre-COVID"
"10452","2018/2019","Thompson","MB","Returning emigrants",3,"CA","Pre-COVID"
"10453","2019/2020","Thompson","MB","Returning emigrants",1,"CA","Pre-COVID"
"10454","2020/2021","Thompson","MB","Returning emigrants",4,"CA","COVID"
"10455","2021/2022","Thompson","MB","Returning emigrants",13,"CA","COVID"
"10456","2022/2023","Thompson","MB","Returning emigrants",3,"CA","Post-COVID"
"10457","2023/2024","Thompson","MB","Returning emigrants",3,"CA","Post-COVID"
"10458","2017/2018","Thompson","MB","Net interprovincial migration",-337,"CA","Pre-COVID"
"10459","2018/2019","Thompson","MB","Net interprovincial migration",-256,"CA","Pre-COVID"
"10460","2019/2020","Thompson","MB","Net interprovincial migration",-208,"CA","Pre-COVID"
"10461","2020/2021","Thompson","MB","Net interprovincial migration",-13,"CA","COVID"
"10462","2021/2022","Thompson","MB","Net interprovincial migration",-234,"CA","COVID"
"10463","2022/2023","Thompson","MB","Net interprovincial migration",-257,"CA","Post-COVID"
"10464","2023/2024","Thompson","MB","Net interprovincial migration",-160,"CA","Post-COVID"
"10465","2017/2018","Thompson","MB","Net intraprovincial migration",-32,"CA","Pre-COVID"
"10466","2018/2019","Thompson","MB","Net intraprovincial migration",-233,"CA","Pre-COVID"
"10467","2019/2020","Thompson","MB","Net intraprovincial migration",-235,"CA","Pre-COVID"
"10468","2020/2021","Thompson","MB","Net intraprovincial migration",-106,"CA","COVID"
"10469","2021/2022","Thompson","MB","Net intraprovincial migration",-72,"CA","COVID"
"10470","2022/2023","Thompson","MB","Net intraprovincial migration",-296,"CA","Post-COVID"
"10471","2023/2024","Thompson","MB","Net intraprovincial migration",-240,"CA","Post-COVID"
"10472","2017/2018","Thompson","MB","Net non-permanent residents",42,"CA","Pre-COVID"
"10473","2018/2019","Thompson","MB","Net non-permanent residents",7,"CA","Pre-COVID"
"10474","2019/2020","Thompson","MB","Net non-permanent residents",-8,"CA","Pre-COVID"
"10475","2020/2021","Thompson","MB","Net non-permanent residents",16,"CA","COVID"
"10476","2021/2022","Thompson","MB","Net non-permanent residents",-97,"CA","COVID"
"10477","2022/2023","Thompson","MB","Net non-permanent residents",57,"CA","Post-COVID"
"10478","2023/2024","Thompson","MB","Net non-permanent residents",28,"CA","Post-COVID"
"10479","2017/2018","Thompson","MB","Residual deviation",-159,"CA","Pre-COVID"
"10480","2018/2019","Thompson","MB","Residual deviation",-172,"CA","Pre-COVID"
"10481","2019/2020","Thompson","MB","Residual deviation",-165,"CA","Pre-COVID"
"10482","2020/2021","Thompson","MB","Residual deviation",-46,"CA","COVID"
"10483","2017/2018","Yorkton","SK","Net emigration",8,"CA","Pre-COVID"
"10484","2018/2019","Yorkton","SK","Net emigration",11,"CA","Pre-COVID"
"10485","2019/2020","Yorkton","SK","Net emigration",25,"CA","Pre-COVID"
"10486","2020/2021","Yorkton","SK","Net emigration",-8,"CA","COVID"
"10487","2021/2022","Yorkton","SK","Net emigration",15,"CA","COVID"
"10488","2022/2023","Yorkton","SK","Net emigration",-1,"CA","Post-COVID"
"10489","2023/2024","Yorkton","SK","Net emigration",-1,"CA","Post-COVID"
"10490","2017/2018","Yorkton","SK","Returning emigrants",9,"CA","Pre-COVID"
"10491","2018/2019","Yorkton","SK","Returning emigrants",8,"CA","Pre-COVID"
"10492","2019/2020","Yorkton","SK","Returning emigrants",12,"CA","Pre-COVID"
"10493","2020/2021","Yorkton","SK","Returning emigrants",14,"CA","COVID"
"10494","2021/2022","Yorkton","SK","Returning emigrants",6,"CA","COVID"
"10495","2022/2023","Yorkton","SK","Returning emigrants",1,"CA","Post-COVID"
"10496","2023/2024","Yorkton","SK","Returning emigrants",1,"CA","Post-COVID"
"10497","2017/2018","Yorkton","SK","Net interprovincial migration",-79,"CA","Pre-COVID"
"10498","2018/2019","Yorkton","SK","Net interprovincial migration",-78,"CA","Pre-COVID"
"10499","2019/2020","Yorkton","SK","Net interprovincial migration",-175,"CA","Pre-COVID"
"10500","2020/2021","Yorkton","SK","Net interprovincial migration",-102,"CA","COVID"
"10501","2021/2022","Yorkton","SK","Net interprovincial migration",-133,"CA","COVID"
"10502","2022/2023","Yorkton","SK","Net interprovincial migration",-34,"CA","Post-COVID"
"10503","2023/2024","Yorkton","SK","Net interprovincial migration",-3,"CA","Post-COVID"
"10504","2017/2018","Yorkton","SK","Net intraprovincial migration",-101,"CA","Pre-COVID"
"10505","2018/2019","Yorkton","SK","Net intraprovincial migration",-129,"CA","Pre-COVID"
"10506","2019/2020","Yorkton","SK","Net intraprovincial migration",-223,"CA","Pre-COVID"
"10507","2020/2021","Yorkton","SK","Net intraprovincial migration",-98,"CA","COVID"
"10508","2021/2022","Yorkton","SK","Net intraprovincial migration",-90,"CA","COVID"
"10509","2022/2023","Yorkton","SK","Net intraprovincial migration",-138,"CA","Post-COVID"
"10510","2023/2024","Yorkton","SK","Net intraprovincial migration",-56,"CA","Post-COVID"
"10511","2017/2018","Yorkton","SK","Net non-permanent residents",0,"CA","Pre-COVID"
"10512","2018/2019","Yorkton","SK","Net non-permanent residents",68,"CA","Pre-COVID"
"10513","2019/2020","Yorkton","SK","Net non-permanent residents",-41,"CA","Pre-COVID"
"10514","2020/2021","Yorkton","SK","Net non-permanent residents",-19,"CA","COVID"
"10515","2021/2022","Yorkton","SK","Net non-permanent residents",1,"CA","COVID"
"10516","2022/2023","Yorkton","SK","Net non-permanent residents",168,"CA","Post-COVID"
"10517","2023/2024","Yorkton","SK","Net non-permanent residents",196,"CA","Post-COVID"
"10518","2017/2018","Yorkton","SK","Residual deviation",1,"CA","Pre-COVID"
"10519","2018/2019","Yorkton","SK","Residual deviation",12,"CA","Pre-COVID"
"10520","2019/2020","Yorkton","SK","Residual deviation",-15,"CA","Pre-COVID"
"10521","2020/2021","Yorkton","SK","Residual deviation",92,"CA","COVID"
"10522","2017/2018","Moose Jaw","SK","Net emigration",29,"CA","Pre-COVID"
"10523","2018/2019","Moose Jaw","SK","Net emigration",41,"CA","Pre-COVID"
"10524","2019/2020","Moose Jaw","SK","Net emigration",59,"CA","Pre-COVID"
"10525","2020/2021","Moose Jaw","SK","Net emigration",60,"CA","COVID"
"10526","2021/2022","Moose Jaw","SK","Net emigration",6,"CA","COVID"
"10527","2022/2023","Moose Jaw","SK","Net emigration",27,"CA","Post-COVID"
"10528","2023/2024","Moose Jaw","SK","Net emigration",26,"CA","Post-COVID"
"10529","2017/2018","Moose Jaw","SK","Returning emigrants",34,"CA","Pre-COVID"
"10530","2018/2019","Moose Jaw","SK","Returning emigrants",24,"CA","Pre-COVID"
"10531","2019/2020","Moose Jaw","SK","Returning emigrants",27,"CA","Pre-COVID"
"10532","2020/2021","Moose Jaw","SK","Returning emigrants",18,"CA","COVID"
"10533","2021/2022","Moose Jaw","SK","Returning emigrants",22,"CA","COVID"
"10534","2022/2023","Moose Jaw","SK","Returning emigrants",33,"CA","Post-COVID"
"10535","2023/2024","Moose Jaw","SK","Returning emigrants",35,"CA","Post-COVID"
"10536","2017/2018","Moose Jaw","SK","Net interprovincial migration",-103,"CA","Pre-COVID"
"10537","2018/2019","Moose Jaw","SK","Net interprovincial migration",-348,"CA","Pre-COVID"
"10538","2019/2020","Moose Jaw","SK","Net interprovincial migration",-457,"CA","Pre-COVID"
"10539","2020/2021","Moose Jaw","SK","Net interprovincial migration",-245,"CA","COVID"
